test_case,n_items,capacity,gbfs_value,gbfs_value_std,gbfs_time,bpso_value,bpso_value_std,bpso_time,better_algorithm,improvement_pct
Category Clothing Medium,70,286,89544.86,0.0,0.01368093490600586,66724.98,4691.000649676644,0.01745470364888509,GBFS,34.19990534279667
Category Electronics Medium,70,255,87593.04,1.4551915228366852e-11,0.009840647379557291,72483.93333333333,3148.698266705712,0.017444610595703125,GBFS,20.844766518373255
Category Food Medium,70,282,86982.65000000001,0.0,0.009881099065144857,87152.55666666667,6798.834272894796,0.017304420471191406,BPSO,0.19533397369091676
Category Furniture Medium,70,267,86317.45,0.0,0.020180702209472656,88284.39666666668,13163.511197838601,0.017340819040934246,BPSO,2.2787358369213697
Data High Correlation Medium,70,258,72704.31999999999,0.0,0.008813301722208658,79356.81999999999,8405.417653017996,0.017364025115966797,BPSO,9.150075263753243
Data High Value Medium,70,248,95516.71,0.0,0.010101000467936197,106950.87,16803.132155398886,0.017620563507080078,BPSO,11.97084782338084
Data Low Correlation Medium,70,296,91610.19,0.0,0.008847236633300781,78211.51,22646.600448708996,0.019166946411132812,GBFS,17.13134038711183
Region 1Regions Medium,70,274,81091.69,0.0,0.009667634963989258,78368.22333333333,29369.17673276563,0.017578999201456707,GBFS,3.4752180805255906
Region 2Regions Medium,70,264,91184.34999999999,0.0,0.021267414093017578,92734.87,10702.515117208044,0.017473141352335613,BPSO,1.7004233730897946
Region 3Regions Medium,70,253,89533.63999999997,1.4551915228366852e-11,0.011087258656819662,80130.04,26021.15860664291,0.01740431785583496,GBFS,11.73542406817715
Size Large 70,70,263,91287.43000000001,0.0,0.010124921798706055,64102.0,19428.911667689128,0.01748768488566081,GBFS,42.40964400486725
Size Medium 50,50,178,75304.5,0.0,0.011486530303955078,66434.37333333334,9441.685569735713,0.017034053802490234,GBFS,13.351712707758908
Size Small 30,30,101,67167.18999999999,0.0,0.025711695353190105,61002.54666666666,5672.652342425208,0.016811291376749676,GBFS,10.105550784655755
